task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9429453350592453,0.6870659722222222,1.106,t05,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.6945054945054945,0.7942966440619023,1.001,t05,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9339070553859287,0.8726827233865082,1.066,t05,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7184853078585132,0.6782140897458923,4.913,t05,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6904846875590788,0.5753054985881099,68.193,t05,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6297151885353353,0.6221547919540349,4.417,t05,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.6758555016656869,0.710780432221557,18.381,t05,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7614179791458382,0.6645141299603898,42.957,t05,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.7260158440177995,1.843038839408256,0.354,t05,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.820292068383709,3.3558209737168,0.173,t05,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1091631971268279,1.0480758768997165,2.05,t05,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,134.74357773790192,140.2823025620939,1.291,t05,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.02410269761570613,0.026100230877567257,6.244,t05,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014492594706435422,0.016906584868909665,29.066,t05,42
