task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,112,0.9425968336154535,0.6458815586419753,0.991,t12,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,112,0.6961538461538461,0.796904886106764,0.929,t12,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,112,0.9094069076463442,0.8842847461161506,0.915,t12,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,112,0.7144117721540385,0.6755670319974022,4.179,t12,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,112,0.6939884426011174,0.5760480900952538,45.825,t12,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,112,0.6380119421683603,0.5987112683758112,3.289,t12,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,112,0.6820727390750538,0.6991260935900655,18.019,t12,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,112,0.7910730437123639,0.7123817383186786,41.262,t12,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,112,1.7066167032749007,1.8827390964419985,0.321,t12,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,112,5.7867968321530965,3.327344001595308,0.153,t12,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,112,1.1212345901999368,1.049272698308448,1.965,t12,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,112,134.25035294683593,132.82906048107643,1.227,t12,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,112,0.024313166315905202,0.026339736930426006,5.728,t12,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,112,0.015050729031732933,0.017568878867745896,28.507,t12,42
