task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.782047575939919,3.392266186194249,0.207,t10,45
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1194161931624833,1.0514053545947044,2.214,t10,45
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,126.66960882105866,129.20385731112074,1.419,t10,45
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.024587380671885855,0.026199471431330043,7.462,t10,45
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014912220087974397,0.01679270446637295,30.471,t10,45
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9383650303694115,0.671923225308642,1.064,t10,46
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.6763736263736264,0.7882976873587202,0.979,t10,46
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9720419252109394,0.8427518854481633,1.052,t10,46
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7198068932973528,0.6807907802901786,5.317,t10,46
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6884851436691186,0.5757074014482231,87.354,t10,46
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6389997327568233,0.6128634760113059,5.469,t10,46
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7177257863021752,0.6923830124181618,18.339,t10,46
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7980672352086042,0.626879621041668,42.875,t10,46
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.625373612336502,1.7275654836415613,0.371,t10,46
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.65724286923503,3.441445829454451,0.19,t10,46
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.115461917995346,1.0351578515697504,2.079,t10,46
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,126.85136799840329,122.47284594587944,1.272,t10,46
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.02501842657266891,0.02644811399926072,6.873,t10,46
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.015467682198322527,0.017933679889358612,29.535,t10,46
